settlement_id,payment_id,settlement_date,settled_amount,fees,tax,status
SET00385,PAY00385,2026-07-24,84240.53,1263.61,227.45,SETTLED
SET00386,PAY00386,2026-07-31,81639.81,1224.6,220.43,SETTLED
SET00387,PAY00387,2026-08-03,31761.24,476.42,85.76,SETTLED
SET00388,PAY00388,2026-08-08,78306.45,1174.6,211.43,SETTLED
SET00389,PAY00389,2026-08-07,20380.1,305.7,55.03,SETTLED
SET00390,PAY00390,2026-08-17,21360.02,320.4,57.67,SETTLED
SET00391,PAY00391,2026-07-12,63516.94,952.75,171.5,SETTLED
SET00392,PAY00392,2026-09-02,38010.59,570.16,102.63,SETTLED
SET00393,PAY00393,2026-08-05,92387.83,1385.82,249.45,SETTLED
SET00394,PAY00394,2026-08-11,63998.95,959.98,172.8,SETTLED
SET00395,PAY00395,2026-07-14,64876.48,973.15,175.17,SETTLED
SET00396,PAY00396,2026-08-20,33493.87,502.41,90.43,SETTLED
SET00397,PAY00397,2026-08-04,74811.88,1122.18,201.99,SETTLED
SET00398,PAY00398,2026-07-12,34824.26,522.36,94.02,SETTLED
SET00399,PAY00399,2026-07-10,83216.12,1248.24,224.68,SETTLED
SET00400,PAY00400,2026-08-06,48551.14,728.27,131.09,SETTLED
SET00401,PAY00401,2026-07-22,7183.85,107.76,19.4,SETTLED
SET00403,PAY00403,2026-07-13,55415.07,831.23,149.62,SETTLED
SET00404,PAY00404,2026-08-13,18852.95,282.79,50.9,SETTLED
SET00405,PAY00405,2026-07-30,59424.21,891.36,160.44,SETTLED
SET00406,PAY00406,2026-08-19,70524.09,1057.86,190.41,SETTLED
SET00407,PAY00407,2026-07-24,20108.89,301.63,54.29,SETTLED
SET00408,PAY00408,2026-08-10,39169.61,587.54,105.76,SETTLED
SET00410,PAY00410,2026-07-24,12227.23,183.41,33.01,SETTLED
SET00411,PAY00411,2026-08-03,39152.1,587.28,105.71,SETTLED
SET00412,PAY00412,2026-08-12,53969.24,809.54,145.72,SETTLED
SET00413,PAY00413,2026-07-13,31800.71,477.01,85.86,SETTLED
SET00414,PAY00414,2026-07-11,19915.28,298.73,53.77,SETTLED
SET00415,PAY00415,2026-07-30,71159.17,1067.39,192.13,SETTLED
SET00416,PAY00416,2026-08-23,76225.13,1143.38,205.81,SETTLED
SET00417,PAY00417,2026-07-14,78183.65,1172.75,211.09,SETTLED
SET00418,PAY00418,2026-07-21,77623.75,1164.36,209.58,SETTLED
SET00419,PAY00419,2026-08-05,22244.92,333.67,60.06,SETTLED
SET00420,PAY00420,2026-07-05,43504.32,678.73,122.17,SETTLED
SET00421,PAY00421,2026-08-22,81282.95,1219.24,219.46,SETTLED
SET00422,PAY00422,2026-08-16,61221.05,918.32,165.3,SETTLED
SET00423,PAY00423,2026-07-06,57222.4,858.34,154.5,SETTLED
SET00424,PAY00424,2026-07-20,57487.19,862.31,155.22,SETTLED
SET00425,PAY00425,2026-08-13,13125.37,196.88,35.44,SETTLED
SET00426,PAY00426,2026-08-21,84433.79,1266.51,227.97,SETTLED
SET00427,PAY00427,2026-08-12,41715.4,625.73,112.63,SETTLED
SET00428,PAY00428,2026-08-19,28183.46,422.75,76.09,SETTLED
SET00429,PAY00429,2026-07-04,86956.32,1304.34,234.78,SETTLED
SET00430,PAY00430,2026-07-06,79669.95,1195.05,215.11,SETTLED
SET00431,PAY00431,2026-07-19,32625.08,489.38,88.09,SETTLED
SET00432,PAY00432,2026-08-03,78936.21,1184.04,213.13,SETTLED
SET00433,PAY00433,2026-07-10,92978.57,1394.68,251.04,SETTLED
SET00434,PAY00434,2026-08-15,90986.02,1364.79,245.66,SETTLED
SET00435,PAY00435,2026-07-19,8700.84,130.51,23.49,SETTLED
SET00436,PAY00436,2026-07-29,65720.78,985.81,177.45,SETTLED
SET00437,PAY00437,2026-08-09,23005.99,345.09,62.12,SETTLED
SET00438,PAY00438,2026-07-29,69556.08,1043.34,187.8,SETTLED
SET00439,PAY00439,2026-07-10,31678.47,475.18,85.53,SETTLED
SET00440,PAY00440,2026-07-07,53285.57,799.28,143.87,SETTLED
SET00442,PAY00442,2026-07-17,9125.46,136.88,24.64,SETTLED
SET00443,PAY00443,2026-07-25,96343.25,1445.15,260.13,SETTLED
SET00444,PAY00444,2026-07-17,55562.96,833.44,150.02,SETTLED
SET00445,PAY00445,2026-07-17,52016.04,780.24,140.44,SETTLED
SET00446,PAY00446,2026-08-21,89842.3,1347.63,242.57,SETTLED
SET00447,PAY00447,2026-08-23,59596.01,893.94,160.91,SETTLED
SET00448,PAY00448,2026-07-28,36858.54,552.88,99.52,SETTLED
SET00450,PAY00450,2026-08-11,71406.59,1071.1,192.8,SETTLED
SET00451,PAY00451,2026-08-07,61796.68,926.95,166.85,SETTLED
SET00452,PAY00452,2026-07-13,53870.82,808.06,145.45,SETTLED
SET00453,PAY00453,2026-07-22,70018.25,1050.27,189.05,SETTLED
SET00454,PAY00454,2026-08-02,61423.53,921.35,165.84,SETTLED
SET00455,PAY00455,2026-07-10,1760.16,26.4,4.75,SETTLED
SET00456,PAY00456,2026-08-06,51963.67,779.46,140.3,SETTLED
SET00457,PAY00457,2026-08-18,88698.27,1330.47,239.48,SETTLED
SET00458,PAY00458,2026-07-07,26663.49,399.95,71.99,SETTLED
SET00459,PAY00459,2026-08-02,86006.3,1290.09,232.22,SETTLED
SET00460,PAY00460,2026-08-14,72416.45,1086.25,195.53,SETTLED
SET00461,PAY00461,2026-07-17,5075.16,76.13,13.7,SETTLED
SET00462,PAY00462,2026-08-07,80409.99,1206.15,217.11,SETTLED
SET00463,PAY00463,2026-07-19,82686.7,1240.3,223.25,SETTLED
SET00464,PAY00464,2026-07-17,80531.63,1207.97,217.43,SETTLED
SET00465,PAY00465,2026-07-23,9095.36,136.43,24.56,SETTLED
SET00466,PAY00466,2026-08-22,30738.98,461.08,82.99,SETTLED
SET00467,PAY00467,2026-08-17,90094.11,1351.41,243.25,SETTLED
SET00468,PAY00468,2026-08-06,34969.16,524.54,94.42,SETTLED
SET00469,PAY00469,2026-07-08,20916.84,313.75,56.48,SETTLED
SET00470,PAY00470,2026-07-08,3436.47,73.02,13.14,SETTLED
SET00471,PAY00471,2026-07-31,97468.2,1462.02,263.16,SETTLED
SET00472,PAY00472,2026-07-06,59393.63,890.9,160.36,SETTLED
SET00473,PAY00473,2026-07-19,85165.91,1277.49,229.95,SETTLED
SET00474,PAY00474,2026-08-01,27559.61,413.39,74.41,SETTLED
SET00475,PAY00475,2026-07-11,11012.95,165.19,29.73,SETTLED
SET00476,PAY00476,2026-07-25,96481.15,1447.22,260.5,SETTLED
SET00477,PAY00477,2026-07-09,16182.73,242.74,43.69,SETTLED
SET00478,PAY00478,2026-07-15,83674.51,1255.12,225.92,SETTLED
SET00479,PAY00479,2026-07-27,51589.24,773.84,139.29,SETTLED
SET00480,PAY00480,2026-07-30,55817.4,837.26,150.71,SETTLED
SET00481,PAY00481,2026-07-03,6636.08,99.54,17.92,SETTLED
SET00482,PAY00482,2026-08-08,58818.82,882.28,158.81,SETTLED
SET00483,PAY00483,2026-07-10,9651.87,144.78,26.06,SETTLED
SET00484,PAY00484,2026-08-09,43599.06,653.99,117.72,SETTLED
SET00485,PAY00485,2026-07-13,35717.35,535.76,96.44,SETTLED
SET00486,PAY00486,2026-08-11,62108.07,931.62,167.69,SETTLED
SET00487,PAY00487,2026-08-01,6567.42,98.51,17.73,SETTLED
SET00488,PAY00488,2026-07-30,63260.06,948.9,170.8,SETTLED
SET00489,PAY00489,2026-08-21,48725.61,730.88,131.56,SETTLED
SET00490,PAY00490,2026-08-11,22292.51,334.39,60.19,SETTLED
SET00491,PAY00491,2026-08-20,58606.9,879.1,158.24,SETTLED
SET00492,PAY00492,2026-08-07,81720.37,1225.81,220.65,SETTLED
SET00493,PAY00493,2026-07-25,93553.0,1403.29,252.59,SETTLED
SET00494,PAY00494,2026-08-08,3306.55,49.6,8.93,SETTLED
SET00495,PAY00495,2026-07-15,83751.34,1256.27,226.13,SETTLED
SET00496,PAY00496,2026-07-07,6088.71,91.33,16.44,SETTLED
SET00497,PAY00497,2026-08-11,20545.71,308.19,55.47,SETTLED
SET00498,PAY00498,2026-07-04,15197.35,227.96,41.03,SETTLED
SET00499,PAY00499,2026-07-26,70601.53,1059.02,190.62,SETTLED
SET00500,PAY00500,2026-07-12,97598.14,1463.97,263.51,SETTLED
SET00501,PAY00501,2026-07-13,70864.7,1062.97,191.33,SETTLED
SET00502,PAY00502,2026-07-21,73532.5,1102.99,198.54,SETTLED
SET00503,PAY00503,2026-07-29,85150.32,1277.25,229.91,SETTLED
SET00504,PAY00504,2026-08-11,56772.25,851.58,153.28,SETTLED
SET00505,PAY00505,2026-07-26,98246.78,1473.7,265.27,SETTLED
SET00506,PAY00506,2026-07-31,1633.86,24.51,4.41,SETTLED
SET00507,PAY00507,2026-08-23,11249.44,168.74,30.37,SETTLED
SET00508,PAY00508,2026-07-14,87699.76,1327.69,238.98,SETTLED
SET00509,PAY00509,2026-08-21,86473.05,1297.1,233.48,SETTLED
SET00510,PAY00510,2026-07-04,32212.33,483.18,86.97,SETTLED
SET00511,PAY00511,2026-08-18,7962.74,119.44,21.5,SETTLED
SET00512,PAY00512,2026-07-29,94273.0,1414.1,254.54,SETTLED
SET00513,PAY00513,2026-07-10,33443.91,501.66,90.3,SETTLED
SET00514,PAY00514,2026-07-19,66229.49,993.44,178.82,SETTLED
SET00515,PAY00515,2026-08-07,84065.52,1260.98,226.98,SETTLED
SET00516,PAY00516,2026-07-20,82477.78,1237.17,222.69,SETTLED
SET00517,PAY00517,2026-08-12,29535.24,443.03,79.75,SETTLED
SET00518,PAY00518,2026-08-02,49165.13,737.48,132.75,SETTLED
SET00519,PAY00519,2026-07-26,88606.52,1329.1,239.24,SETTLED
SET00520,PAY00520,2026-08-02,26708.38,400.63,72.11,SETTLED
SET00521,PAY00521,2026-07-07,66980.05,1004.7,180.85,SETTLED
SET00522,PAY00522,2026-08-05,42153.89,632.31,113.82,SETTLED
SET00523,PAY00523,2026-07-09,39783.03,596.75,107.41,SETTLED
SET00524,PAY00524,2026-07-09,94950.85,1424.26,256.37,SETTLED
SET00525,PAY00525,2026-07-18,4746.25,71.19,12.81,SETTLED
SET00526,PAY00526,2026-07-23,91125.05,1366.88,246.04,SETTLED
SET00528,PAY00528,2026-08-23,42249.59,633.74,114.07,SETTLED
SET00530,PAY00530,2026-08-06,88073.51,1321.1,237.8,SETTLED
SET00531,PAY00531,2026-08-11,47568.14,713.52,128.43,SETTLED
SET00532,PAY00532,2026-07-06,39881.38,598.22,107.68,SETTLED
SET00533,PAY00533,2026-07-20,89754.62,1346.32,242.34,SETTLED
SET00534,PAY00534,2026-08-04,85894.36,1288.42,231.92,SETTLED
SET00535,PAY00535,2026-08-22,82669.42,1240.04,223.21,SETTLED
SET00536,PAY00536,2026-07-15,44450.8,666.76,120.02,SETTLED
SET00537,PAY00537,2026-08-04,79253.29,1188.8,213.98,SETTLED
SET00538,PAY00538,2026-08-20,85203.89,1278.06,230.05,SETTLED
SET00539,PAY00539,2026-07-05,45916.64,688.75,123.97,SETTLED
SET00540,PAY00540,2026-08-04,39995.76,599.94,107.99,SETTLED
SET00541,PAY00541,2026-08-10,44887.29,673.31,121.2,SETTLED
SET00542,PAY00542,2026-07-18,75021.63,1125.32,202.56,SETTLED
SET00543,PAY00543,2026-08-07,76705.48,1171.4,210.85,SETTLED
SET00544,PAY00544,2026-08-12,40245.19,618.69,111.36,SETTLED
SET00545,PAY00545,2026-08-13,17733.47,266.0,47.88,SETTLED
SET00546,PAY00546,2026-07-30,89600.56,1344.01,241.92,SETTLED
SET00547,PAY00547,2026-08-16,52303.47,784.55,141.22,SETTLED
SET00548,PAY00548,2026-08-07,64910.54,973.66,175.26,SETTLED
SET00549,PAY00549,2026-07-25,97390.84,1482.63,266.87,SETTLED
SET00550,PAY00550,2026-07-15,14062.95,231.27,41.63,SETTLED
SET00551,PAY00551,2026-08-29,3032.8,45.49,8.19,SETTLED
SET00552,PAY00552,2026-08-18,4014.24,60.21,10.84,SETTLED
SET00553,PAY00553,2026-08-13,78597.26,1178.96,212.21,SETTLED
SET00554,PAY00554,2026-07-15,29731.51,445.97,80.27,SETTLED
SET00555,PAY00555,2026-08-20,91306.16,1369.59,246.53,SETTLED
SET00556,PAY00556,2026-08-19,87207.51,1308.11,235.46,SETTLED
SET00557,PAY00557,2026-08-10,29758.09,446.37,80.35,SETTLED
SET00558,PAY00558,2026-08-11,7585.97,113.79,20.48,SETTLED
SET00559,PAY00559,2026-07-22,41604.17,624.06,112.33,SETTLED
SET00560,PAY00560,2026-08-07,89338.09,1340.07,241.21,SETTLED
SET00561,PAY00561,2026-08-02,33596.63,503.95,90.71,SETTLED
SET00562,PAY00562,2026-07-20,21333.55,320.0,57.6,SETTLED
SET00563,PAY00563,2026-07-11,61640.73,924.61,166.43,SETTLED
SET00564,PAY00564,2026-07-04,53611.37,804.17,144.75,SETTLED
SET00565,PAY00565,2026-08-15,910.32,13.65,2.46,SETTLED
SET00566,PAY00566,2026-07-09,38663.27,579.95,104.39,SETTLED
SET00567,PAY00567,2026-07-31,72919.28,1093.79,196.88,SETTLED
SET00568,PAY00568,2026-08-02,36245.46,543.68,97.86,SETTLED
SET00569,PAY00569,2026-07-18,72853.3,1092.8,196.7,SETTLED
SET00570,PAY00570,2026-07-13,12754.62,191.32,34.44,SETTLED
SET00571,PAY00571,2026-08-10,5334.4,80.02,14.4,SETTLED
SET00572,PAY00572,2026-08-16,12021.09,180.32,32.46,SETTLED
SET00573,PAY00573,2026-08-15,15736.15,236.04,42.49,SETTLED
SET00574,PAY00574,2026-07-21,62468.38,937.03,168.67,SETTLED
SET00575,PAY00575,2026-07-20,11844.25,177.66,31.98,SETTLED
SET00576,PAY00576,2026-08-04,97325.41,1459.88,262.78,SETTLED
SET00577,PAY00577,2026-08-07,49887.29,748.31,134.7,SETTLED
SET00579,PAY00579,2026-07-12,94969.88,1424.55,256.42,SETTLED
SET00580,PAY00580,2026-07-31,98872.26,1483.08,266.95,SETTLED
SET00581,PAY00581,2026-07-05,85298.74,1279.48,230.31,SETTLED
SET00582,PAY00582,2026-07-10,85198.97,1277.98,230.04,SETTLED
SET00583,PAY00583,2026-07-23,36073.98,541.11,97.4,SETTLED
SET00584,PAY00584,2026-07-24,18695.51,280.43,50.48,SETTLED
SET00585,PAY00585,2026-08-15,85141.82,1277.13,229.88,SETTLED
SET00586,PAY00586,2026-08-16,72777.91,1091.67,196.5,SETTLED
SET00587,PAY00587,2026-08-14,44097.2,661.46,119.06,SETTLED
SET00588,PAY00588,2026-08-01,91859.26,1381.19,248.61,SETTLED
SET00589,PAY00589,2026-07-04,70604.53,1059.07,190.63,SETTLED
SET00590,PAY00590,2026-08-15,70207.73,1053.12,189.56,SETTLED
SET00591,PAY00591,2026-07-26,66539.21,998.09,179.66,SETTLED
SET00592,PAY00592,2026-07-03,64518.17,967.77,174.2,SETTLED
SET00593,PAY00593,2026-07-06,75267.29,1129.01,203.22,SETTLED
SET00594,PAY00594,2026-07-16,55274.31,829.11,149.24,SETTLED
SET00595,PAY00595,2026-07-31,80225.5,1203.38,216.61,SETTLED
SET00596,PAY00596,2026-07-09,98076.74,1471.15,264.81,SETTLED
SET00597,PAY00597,2026-08-08,516.89,7.75,1.4,SETTLED
SET00598,PAY00598,2026-08-03,56452.09,846.78,152.42,SETTLED
SET00599,PAY00599,2026-07-25,56235.01,843.53,151.84,SETTLED
SET00600,PAY00600,2026-07-11,10194.98,152.92,27.53,SETTLED
SET00601,PAY00601,2026-08-07,52437.52,786.56,141.58,SETTLED
SET00602,PAY00602,2026-08-16,74379.83,1115.7,200.83,SETTLED
SET00603,PAY00603,2026-07-11,93056.52,1395.85,251.25,SETTLED
SET00605,PAY00605,2026-08-20,89229.56,1338.44,240.92,SETTLED
SET00606,PAY00606,2026-07-04,53271.25,799.07,143.83,SETTLED
SET00607,PAY00607,2026-08-05,78217.61,1173.26,211.19,SETTLED
SET00608,PAY00608,2026-07-09,39046.86,585.7,105.43,SETTLED
SET00609,PAY00609,2026-07-19,40088.06,601.32,108.24,SETTLED
SET00610,PAY00610,2026-08-10,70151.42,1052.27,189.41,SETTLED
SET00611,PAY00611,2026-08-13,22125.58,331.88,59.74,SETTLED
SET00612,PAY00612,2026-08-16,13700.84,205.51,36.99,SETTLED
SET00613,PAY00613,2026-08-18,11982.82,179.74,32.35,SETTLED
SET00614,PAY00614,2026-08-14,73819.75,1123.69,202.26,SETTLED
SET00615,PAY00615,2026-07-27,14960.01,224.4,40.39,SETTLED
SET00616,PAY00616,2026-07-11,84018.49,1260.28,226.85,SETTLED
SET00617,PAY00617,2026-07-31,10696.76,160.45,28.88,SETTLED
SET00618,PAY00618,2026-08-04,78538.56,1178.08,212.05,SETTLED
SET00619,PAY00619,2026-07-29,95691.85,1435.38,258.37,SETTLED
SET00620,PAY00620,2026-08-12,86950.57,1304.26,234.77,SETTLED
SET00621,PAY00621,2026-08-20,59044.34,885.67,159.42,SETTLED
SET00622,PAY00622,2026-07-15,98353.61,1475.3,265.55,SETTLED
SET00623,PAY00623,2026-07-09,38031.22,570.47,102.68,SETTLED
SET00624,PAY00624,2026-08-08,84678.41,1270.18,228.63,SETTLED
SET00625,PAY00625,2026-07-13,92898.51,1393.48,250.83,SETTLED
SET00626,PAY00626,2026-08-03,79095.86,1186.44,213.56,SETTLED
SET00627,PAY00627,2026-07-17,95720.28,1435.8,258.44,SETTLED
SET00628,PAY00628,2026-08-07,40640.0,609.6,109.73,SETTLED
SET00629,PAY00629,2026-07-25,36399.38,545.99,98.28,SETTLED
SET00630,PAY00630,2026-07-11,67059.38,1005.89,181.06,SETTLED
SET00631,PAY00631,2026-07-05,68413.86,1026.21,184.72,SETTLED
SET00633,PAY00633,2026-07-31,47860.67,734.06,132.13,SETTLED
SET00634,PAY00634,2026-07-14,97177.06,1457.66,262.38,SETTLED
SET00635,PAY00635,2026-08-16,42708.84,640.63,115.31,SETTLED
SET00636,PAY00636,2026-08-12,81767.06,1226.51,220.77,SETTLED
SET00637,PAY00637,2026-08-17,33505.68,502.59,90.47,SETTLED
SET00639,PAY00639,2026-08-11,40742.58,611.14,110.01,SETTLED
SET00640,PAY00640,2026-07-02,64321.56,964.82,173.67,SETTLED
SET00641,PAY00641,2026-07-25,92840.75,1392.61,250.67,SETTLED
SET00642,PAY00642,2026-07-20,76644.79,1149.67,206.94,SETTLED
SET00643,PAY00643,2026-07-13,53580.04,803.7,144.67,SETTLED
SET00644,PAY00644,2026-07-21,67890.26,1018.35,183.3,SETTLED
SET00645,PAY00645,2026-07-05,1000.47,15.01,2.7,SETTLED
SET00646,PAY00646,2026-08-20,74272.33,1114.08,200.53,SETTLED
SET00647,PAY00647,2026-07-14,18807.28,282.11,50.78,SETTLED
SET00648,PAY00648,2026-07-06,85213.08,1278.2,230.08,SETTLED
SET00649,PAY00649,2026-07-20,10271.14,154.07,27.73,SETTLED
SET00651,PAY00651,2026-07-25,61826.07,927.39,166.93,SETTLED
SET00652,PAY00652,2026-07-25,80866.13,1212.99,218.34,SETTLED
SET00653,PAY00653,2026-08-16,74111.71,1111.68,200.1,SETTLED
SET00654,PAY00654,2026-08-03,46553.41,698.3,125.69,SETTLED
SET00655,PAY00655,2026-07-15,64732.38,970.99,174.78,SETTLED
SET00656,PAY00656,2026-07-20,73487.69,1102.32,198.42,SETTLED
SET00658,PAY00658,2026-08-07,47474.34,712.12,128.18,SETTLED
SET00659,PAY00659,2026-07-10,46737.76,701.07,126.19,SETTLED
SET00660,PAY00660,2026-08-12,68574.08,1028.61,185.15,SETTLED
SET00661,PAY00661,2026-08-14,87283.42,1309.25,235.66,SETTLED
SET00662,PAY00662,2026-07-16,76266.5,1144.0,205.92,SETTLED
SET00663,PAY00663,2026-08-13,21074.02,316.11,56.9,SETTLED
SET00664,PAY00664,2026-08-14,32745.08,491.18,88.41,SETTLED
SET00665,PAY00665,2026-08-07,17798.06,266.97,48.05,SETTLED
SET00666,PAY00666,2026-07-19,37944.71,569.17,102.45,SETTLED
SET00667,PAY00667,2026-08-22,48469.95,727.05,130.87,SETTLED
SET00668,PAY00668,2026-07-16,8170.28,122.55,22.06,SETTLED
SET00669,PAY00669,2026-08-10,71871.62,1078.07,194.05,SETTLED
SET00670,PAY00670,2026-08-03,67685.33,1015.28,182.75,SETTLED
SET00671,PAY00671,2026-07-03,24745.2,371.18,66.81,SETTLED
SET00672,PAY00672,2026-07-04,89134.37,1337.02,240.66,SETTLED
SET00673,PAY00673,2026-07-29,58475.59,902.04,162.37,SETTLED
SET00674,PAY00674,2026-07-15,43518.04,677.94,122.03,SETTLED
SET00675,PAY00675,2026-08-22,58473.29,877.1,157.88,SETTLED
SET00676,PAY00676,2026-08-17,68716.32,1030.74,185.53,SETTLED
SET00677,PAY00677,2026-07-28,13655.21,204.83,36.87,SETTLED
SET00678,PAY00678,2026-07-13,60748.35,911.23,164.02,SETTLED
SET00679,PAY00679,2026-08-21,53377.28,800.66,144.12,SETTLED
SET00680,PAY00680,2026-07-02,89748.41,1346.23,242.32,SETTLED
SET00681,PAY00681,2026-07-30,23333.88,350.01,63.0,SETTLED
SET00682,PAY00682,2026-07-08,42836.19,642.54,115.66,SETTLED
SET00683,PAY00683,2026-08-11,87738.25,1316.07,236.89,SETTLED
SET00684,PAY00684,2026-08-09,52492.79,787.39,141.73,SETTLED
SET00685,PAY00685,2026-07-29,36545.84,548.19,98.67,SETTLED
SET00686,PAY00686,2026-08-06,42644.37,639.67,115.14,SETTLED
SET00687,PAY00687,2026-07-30,55434.44,831.52,149.67,SETTLED
SET00688,PAY00688,2026-07-20,98856.57,1482.85,266.91,SETTLED
SET00689,PAY00689,2026-08-13,12349.03,185.24,33.34,SETTLED
SET00690,PAY00690,2026-07-17,51080.18,766.2,137.92,SETTLED
SET00691,PAY00691,2026-07-13,39215.82,588.24,105.88,SETTLED
SET00692,PAY00692,2026-07-07,6876.01,103.14,18.57,SETTLED
SET00693,PAY00693,2026-07-27,61589.58,923.84,166.29,SETTLED
SET00694,PAY00694,2026-08-13,49689.65,745.34,134.16,SETTLED
SET00695,PAY00695,2026-07-14,3844.13,57.66,10.38,SETTLED
SET00696,PAY00696,2026-07-18,65674.4,985.12,177.32,SETTLED
SET00697,PAY00697,2026-08-15,39816.74,597.25,107.5,SETTLED
SET00698,PAY00698,2026-07-07,55184.47,827.77,149.0,SETTLED
SET00699,PAY00699,2026-08-02,93006.53,1395.1,251.12,SETTLED
SET00700,PAY00700,2026-08-08,7702.4,115.54,20.8,SETTLED
SET00701,PAY00701,2026-08-07,81408.16,1221.12,219.8,SETTLED
SET00702,PAY00702,2026-08-22,24705.69,370.59,66.71,SETTLED
SET00703,PAY00703,2026-08-03,12068.7,181.03,32.59,SETTLED
SET00704,PAY00704,2026-07-24,41536.38,623.05,112.15,SETTLED
SET00705,PAY00705,2026-07-17,29085.31,436.28,78.53,SETTLED
SET00706,PAY00706,2026-07-14,47917.27,718.76,129.38,SETTLED
SET00707,PAY00707,2026-08-18,68469.18,1027.04,184.87,SETTLED
SET00708,PAY00708,2026-07-19,21074.47,316.12,56.9,SETTLED
SET00709,PAY00709,2026-08-21,11115.58,166.73,30.01,SETTLED
SET00710,PAY00710,2026-08-21,85780.39,1286.71,231.61,SETTLED
SET00711,PAY00711,2026-08-03,89863.06,1347.95,242.63,SETTLED
SET00712,PAY00712,2026-07-17,75141.85,1127.13,202.88,SETTLED
SET00713,PAY00713,2026-07-05,48540.92,757.44,136.34,SETTLED
SET00714,PAY00714,2026-08-01,31907.3,478.61,86.15,SETTLED
SET00715,PAY00715,2026-07-08,32880.9,493.21,88.78,SETTLED
SET00716,PAY00716,2026-08-02,95873.42,1438.1,258.86,SETTLED
SET00717,PAY00717,2026-07-29,70220.91,1053.31,189.6,SETTLED
SET00718,PAY00718,2026-07-14,57355.27,860.33,154.86,SETTLED
SET00719,PAY00719,2026-08-06,43505.77,652.59,117.47,SETTLED
SET00720,PAY00720,2026-07-04,18072.42,271.09,48.8,SETTLED
SET00721,PAY00721,2026-08-19,31914.86,478.72,86.17,SETTLED
SET00722,PAY00722,2026-07-28,10347.99,155.22,27.94,SETTLED
SET00723,PAY00723,2026-08-01,74587.03,1118.81,201.39,SETTLED
SET00724,PAY00724,2026-07-26,2473.62,37.1,6.68,SETTLED
SET00725,PAY00725,2026-08-09,57801.5,867.02,156.06,SETTLED
SET00726,PAY00726,2026-08-04,76942.67,1163.81,209.49,SETTLED
SET00727,PAY00727,2026-07-14,64237.77,963.57,173.44,SETTLED
SET00728,PAY00728,2026-07-08,8371.64,125.57,22.6,SETTLED
SET00729,PAY00729,2026-08-17,27113.5,406.7,73.21,SETTLED
SET00730,PAY00730,2026-08-01,41146.12,625.38,112.57,SETTLED
SET00731,PAY00731,2026-08-18,70219.34,1053.29,189.59,SETTLED
SET00732,PAY00732,2026-07-07,93710.97,1405.66,253.02,SETTLED
SET00733,PAY00733,2026-08-19,99603.37,1494.05,268.93,SETTLED
SET00734,PAY00734,2026-07-21,23320.92,349.81,62.97,SETTLED
SET00735,PAY00735,2026-07-13,2355.17,50.14,9.03,SETTLED
SET00736,PAY00736,2026-07-21,55080.25,826.2,148.72,SETTLED
SET00737,PAY00737,2026-08-13,75016.7,1125.25,202.54,SETTLED
SET00738,PAY00738,2026-07-25,48424.34,726.37,130.75,SETTLED
SET00739,PAY00739,2026-07-28,26350.8,395.26,71.15,SETTLED
SET00740,PAY00740,2026-07-21,47185.2,707.78,127.4,SETTLED
SET00741,PAY00741,2026-07-04,76703.99,1150.56,207.1,SETTLED
SET00742,PAY00742,2026-07-16,41467.72,622.02,111.96,SETTLED
SET00743,PAY00743,2026-07-28,22448.95,336.73,60.61,SETTLED
SET00744,PAY00744,2026-07-20,65021.48,975.32,175.56,SETTLED
SET00745,PAY00745,2026-07-22,11480.46,172.21,31.0,SETTLED
SET00746,PAY00746,2026-07-14,32404.05,486.06,87.49,SETTLED
SET00747,PAY00747,2026-07-08,28570.4,428.56,77.14,SETTLED
SET00748,PAY00748,2026-07-08,15493.03,232.4,41.83,SETTLED
SET00749,PAY00749,2026-07-25,46636.6,699.55,125.92,SETTLED
SET00750,PAY00750,2026-08-21,39545.97,593.19,106.77,SETTLED
SET00751,PAY00751,2026-07-09,97472.55,1462.09,263.18,SETTLED
SET00752,PAY00752,2026-07-15,46353.05,695.3,125.15,SETTLED
SET00753,PAY00753,2026-08-14,96140.78,1442.11,259.58,SETTLED
SET00754,PAY00754,2026-08-05,12653.08,189.8,34.16,SETTLED
SET00755,PAY00755,2026-08-14,22169.93,332.55,59.86,SETTLED
SET00756,PAY00756,2026-07-12,79541.84,1193.13,214.76,SETTLED
SET00757,PAY00757,2026-08-09,78455.79,1176.84,211.83,SETTLED
SET00758,PAY00758,2026-07-19,16191.0,242.86,43.71,SETTLED
SET00759,PAY00759,2026-07-05,35874.01,538.11,96.86,SETTLED
SET00760,PAY00760,2026-07-18,32015.59,480.23,86.44,SETTLED
SET00761,PAY00761,2026-07-03,69080.37,1036.21,186.52,SETTLED
SET00762,PAY00762,2026-08-16,44031.25,660.47,118.88,SETTLED
SET00763,PAY00763,2026-07-15,54590.24,818.85,147.39,SETTLED
SET00764,PAY00764,2026-07-14,7353.22,110.3,19.85,SETTLED
SET00765,PAY00765,2026-08-02,571.62,8.57,1.54,SETTLED
SET00766,PAY00766,2026-08-22,62209.63,933.14,167.97,SETTLED
SET00767,PAY00767,2026-07-16,52644.94,789.67,142.14,SETTLED
SET00768,PAY00768,2026-07-24,41275.55,619.13,111.44,SETTLED
SET00769,PAY00769,2026-07-04,83601.74,1254.03,225.73,SETTLED
